,Site,Fish_no,Spp,Section,FL_mm,Wt_g,Scale,Mort
149,4,406,Omy,5,55,1.9,N,N
150,4,407,Omy,5,54,1.7,N,N
151,4,408,Omy,5,53,1.6,N,N
152,4,409,Omy,5,59,2.4,N,N
153,4,410,Omy,5,57,2.2,N,N
154,4,411,Omy,5,61,2.5,N,N
155,4,412,Omy,5,70,3.7,N,N
156,4,413,Omy,5,55,2.2,N,N
157,4,414,Omy,5,55,1.7,N,N
158,4,415,Omy,5,58,2,N,N
159,4,416,Omy,5,54,1.6,N,N
160,4,417,Omy,5,55,1.6,N,N
161,4,418,Omy,5,65,3,N,N
162,4,419,Omy,1,56,1.8,N,N
163,4,420,Omy,1,64,3.3,N,N
164,4,421,Omy,1,64,2.8,N,N
165,4,422,Omy,1,50,1.4,N,N
166,4,423,Omy,1,73,4.6,N,N
167,4,424,Omy,1,69,4,N,N
168,4,425,Omy,1,75,5,N,N
169,4,426,Omy,4,60,2.5,N,N
170,4,427,Omy,4,67,3.1,N,N
171,4,428,Omy,4,68,3.3,N,N
172,4,429,Omy,4,58,2.1,N,N
173,4,430,Omy,4,55,1.9,N,N
174,4,431,Omy,4,58,2.9,N,N
175,4,432,Omy,4,65,3,N,N
176,4,433,Omy,4,58,2.3,N,N
177,4,434,Omy,4,56,1.7,N,N
178,4,435,Omy,4,54,1.8,N,N
179,4,436,Omy,4,51,1.4,N,N
180,4,437,Omy,4,55,2.1,N,N
181,4,438,Omy,4,70,4.1,N,N
182,4,439,Omy,4,57,1.9,N,N
183,4,440,Omy,4,50,1.2,N,N
184,4,441,Omy,2,73,4.2,N,N
185,4,442,Omy,2,63,2.9,N,N
186,4,443,Omy,2,70,4.1,N,N
187,4,444,Omy,2,52,1.8,N,N
188,4,445,Omy,2,61,2.4,N,N
189,4,446,Omy,2,57,2.3,N,N
190,4,447,Omy,2,62,2.8,N,N
191,4,448,Omy,2,62,2.8,N,N
192,4,449,Omy,2,53,1.7,N,N
193,4,450,Omy,2,59,2.4,N,N
194,4,451,Omy,2,64,2.7,N,N
195,4,452,Omy,2,64,3.1,N,N
196,4,453,Omy,2,57,2.1,N,N
197,4,454,Omy,2,62,2.4,N,N
198,4,455,Omy,2,53,1.6,N,N
199,4,456,Omy,2,51,1.6,N,N
200,4,457,Omy,2,59,2.2,N,N
201,4,458,Omy,2,52,1.6,N,N
202,4,459,Omy,2,55,1.8,N,N
203,4,460,Omy,2,50,1.6,N,N
204,4,461,Omy,3,53,1.9,N,N
205,4,462,Omy,3,55,1.6,N,N
206,4,463,Omy,3,69,3.5,N,N
207,4,464,Omy,3,78,5.1,Y,N
208,4,465,Omy,3,66,3.6,N,N
209,4,466,Omy,3,61,2.7,N,N
210,4,467,Omy,3,62,2.3,N,N
211,4,468,Omy,3,65,3.3,N,N
212,4,469,Omy,3,70,3.8,N,N
213,4,470,Omy,3,55,2,N,N
214,4,471,Omy,3,75,4.7,Y,N
215,4,472,Omy,3,70,4.2,N,N
216,4,473,Omy,3,57,1.9,N,N
217,4,474,Omy,3,60,2.1,N,N
218,4,475,Omy,3,81,5.8,Y,N
219,5,501,Omy,1,49,1.3,N,Y
220,5,502,Omy,1,62,2.4,N,N
221,5,503,Omy,1,50,1.8,N,N
222,5,504,Omy,1,55,2.2,N,N
223,5,505,Omy,1,65,2.7,N,N
224,5,506,Omy,1,62,2.5,N,N
225,5,507,Omy,1,71,3.9,N,N
226,5,508,Omy,1,54,1.5,N,N
227,5,509,Omy,1,59,2.7,N,N
228,5,510,Omy,1,59,1.9,N,N
229,5,511,Omy,1,50,1.2,N,N
230,5,512,Omy,1,52,1.4,N,N
231,5,513,Omy,1,55,1.6,N,N
232,5,514,Omy,1,55,2,N,N
233,5,515,Omy,1,79,6.1,Y,N
234,5,516,Omy,2,49,1.1,N,Y
235,5,517,Omy,2,40,0.6,N,Y
236,5,518,Omy,2,64,2.8,N,N
237,5,519,Omy,2,65,3.7,N,N
238,5,520,Omy,2,63,2.7,N,N
239,5,521,Omy,2,62,2.8,N,N
240,5,522,Omy,2,66,3.1,N,N
241,5,523,Omy,2,66,3.2,N,N
242,5,524,Omy,2,50,1.4,N,N
243,5,525,Omy,2,52,1.4,N,N
244,5,526,Omy,2,50,1.3,N,N
245,5,527,Omy,2,60,2.4,N,N
246,5,528,Omy,2,53,1.7,N,N
247,5,529,Omy,2,59,2.4,N,N
248,5,530,Omy,2,59,1.8,N,N
249,5,531,Omy,3,55,1.9,N,N
250,5,532,Omy,3,55,1.8,N,N
251,5,533,Omy,3,58,2.2,N,N
252,5,534,Omy,3,65,3.3,N,N
253,5,535,Omy,3,53,1.5,N,N
254,5,536,Omy,3,70,4.3,N,N
255,5,537,Omy,3,58,2,N,N
256,5,538,Omy,3,65,2.9,N,N
257,5,539,Omy,3,53,1.7,N,N
258,5,540,Omy,3,59,2.2,N,N
259,5,541,Omy,3,63,2.8,N,N
260,5,542,Omy,3,52,1.4,N,N
261,5,543,Omy,3,54,1.9,N,N
262,5,544,Omy,3,50,1.1,N,N
263,5,545,Omy,3,75,5.2,N,N
264,5,546,Omy,4,50,1.4,N,N
265,5,547,Omy,4,62,2.5,N,N
266,5,548,Omy,4,63,3,N,N
267,5,549,Omy,4,71,4.3,N,N
268,5,550,Omy,4,64,2.7,N,N
269,5,551,Omy,4,60,2.3,N,N
270,5,552,Omy,4,64,2.4,N,N
271,5,553,Omy,4,56,2.1,N,N
272,5,554,Omy,4,63,2.8,N,N
273,5,555,Omy,4,52,1.5,N,N
274,5,556,Omy,4,57,2.1,N,N
275,5,557,Omy,4,59,2.3,N,N
276,5,558,Omy,4,53,1.5,N,N
277,5,559,Omy,4,53,1.5,N,N
278,5,560,Omy,4,50,1.4,N,N
279,5,561,Omy,5,64,3.5,N,N
280,5,562,Omy,5,59,2.5,N,N
281,5,563,Omy,5,61,2.7,N,N
282,5,564,Omy,5,52,1.5,N,N
283,5,565,Omy,5,51,1.4,N,N
284,5,566,Omy,5,56,2.1,N,N
285,5,567,Omy,5,65,3.1,N,N
286,5,568,Omy,5,71,4.3,N,N
287,5,569,Omy,5,65,3.4,N,N
288,5,570,Omy,5,70,3.9,N,N
289,5,571,Omy,5,60,2.3,N,N
290,5,572,Omy,5,68,3.2,N,N
291,5,573,Omy,5,77,5.1,N,N
292,5,574,Omy,5,59,2.1,N,N
293,5,575,Omy,5,65,3.7,N,N
294,6,601,Omy,1,56,2,N,N
295,6,602,Omy,1,60,2.2,N,N
296,6,603,Omy,1,63,2.9,N,N
297,6,604,Omy,1,56,2,N,N
298,6,605,Omy,1,59,2.2,N,N
299,6,606,Omy,1,59,2.4,N,N
300,6,607,Omy,1,69,3.8,N,N
301,6,608,Omy,1,73,4.4,N,N
302,6,609,Omy,1,63,2.8,N,N
303,6,610,Omy,1,74,4.4,N,N
304,6,611,Omy,1,61,2.6,N,N
305,6,612,Omy,1,61,2.5,N,N
306,6,613,Omy,1,64,3.3,N,N
307,6,614,Omy,1,69,4.1,N,N
308,6,615,Omy,1,75,5.1,N,N
309,6,616,Omy,1,88,7.3,Y,N
310,6,617,Omy,2,66,3.2,N,Y
311,6,618,Omy,2,62,2.7,N,N
312,6,619,Omy,2,59,2.4,N,N
313,6,620,Omy,2,61,2.6,N,N
314,6,621,Omy,2,65,3,N,N
315,6,622,Omy,2,70,4.2,N,N
316,6,623,Omy,2,46,0.9,N,N
317,6,624,Omy,2,53,1.5,N,N
318,6,625,Omy,2,55,1.8,N,N
319,6,626,Omy,2,58,2,N,N
320,6,627,Omy,2,67,3.2,N,N
321,6,628,Omy,2,63,2.7,N,N
322,6,629,Omy,2,64,2.9,N,N
323,6,630,Omy,2,55,1.8,N,N
324,6,631,Omy,2,62,2.6,N,N
325,6,632,Omy,2,59,2.2,N,N
326,6,633,Omy,2,64,2.9,N,N
327,6,634,Omy,2,65,3.2,N,N
328,6,635,Omy,3,61,2.6,N,N
329,6,636,Omy,3,67,3.3,N,N
330,6,637,Omy,3,62,2.9,N,N
331,6,638,Omy,3,63,2.5,N,N
332,6,639,Omy,3,67,3.8,N,N
333,6,640,Omy,3,65,3.2,N,N
