,Site,Fish_no,Spp,Section,FL_mm,Wt_g,Scale,Mort
620,13,1367,Omy,1,49,1.3,N,N
621,13,1368,Omy,1,50,1.2,N,N
622,13,1369,Omy,1,56,2,N,N
623,13,1370,Omy,1,59,2,N,N
624,13,1371,Omy,1,55,1.6,N,N
625,13,1372,Omy,1,50,1.2,N,N
626,13,1373,Omy,1,51,1.5,N,N
627,13,1374,Omy,1,50,1.6,N,N
628,13,1375,Omy,1,62,2.8,N,N
629,14,1401,Omy,1,32,0.2,N,Y
630,14,1402,Omy,1,39,0.6,N,Y
631,14,1403,Omy,1,42,0.8,N,Y
632,14,1404,Omy,1,60,2.2,N,Y
633,14,1405,Omy,1,62,3,N,N
634,14,1406,Omy,1,72,4.6,N,N
635,14,1407,Omy,1,49,1.4,N,N
636,14,1408,Omy,1,53,1.6,N,N
637,14,1409,Omy,1,64,2.6,N,N
638,14,1410,Omy,1,60,2.8,N,N
639,14,1411,Omy,1,58,2.1,N,N
640,14,1412,Omy,1,59,2.4,N,N
641,14,1413,Omy,1,53,1.6,N,N
642,14,1414,Omy,1,55,1.7,N,N
643,14,1415,Omy,1,56,1.9,N,N
644,14,1416,Omy,1,55,1.5,N,N
645,14,1417,Omy,1,48,1.1,N,N
646,14,1418,Omy,1,48,1.1,N,N
647,14,1419,Omy,1,47,1,N,N
648,14,1420,Omy,1,47,1,N,N
649,14,1421,Omy,2,40,0.6,N,Y
650,14,1422,Omy,2,58,2.1,N,N
651,14,1423,Omy,2,64,3,N,N
652,14,1424,Omy,2,53,2.2,N,N
653,14,1425,Omy,3,53,1.7,N,Y
654,14,1426,Omy,3,48,1.4,N,N
655,14,1427,Omy,3,55,2,N,N
656,14,1428,Omy,3,50,1.3,N,N
657,14,1429,Omy,3,49,1.8,N,N
658,14,1430,Omy,4,54,1.7,N,N
659,14,1431,Omy,4,55,2.3,N,N
660,14,1432,Omy,4,64,2.5,N,N
661,14,1433,Omy,4,52,1.8,N,N
662,14,1434,Omy,4,53,1.5,N,N
663,14,1435,Omy,4,49,1.4,N,N
664,14,1436,Omy,4,47,1.1,N,N
665,14,1437,Omy,6,58,2.2,N,N
666,14,1438,Omy,6,56,1.8,N,N
667,14,1439,Omy,6,47,1,N,N
668,14,1440,Omy,6,50,1.5,N,N
669,14,1441,Omy,6,54,2.1,N,N
670,14,1442,Omy,6,49,1.4,N,N
671,14,1443,Omy,6,42,0.7,N,Y
672,14,1444,Omy,6,34,0.4,N,Y
673,14,1445,Omy,6,48,1.3,N,Y
674,14,1446,Omy,5,60,2.4,N,Y
675,14,1447,Omy,5,48,1.4,N,N
676,14,1448,Omy,5,49,1.7,N,N
677,14,1449,Omy,5,58,2.1,N,N
678,14,1450,Omy,5,66,3.3,N,N
679,15,1501,Omy,4,48,1.1,N,N
680,15,1502,Omy,4,52,1.4,N,N
681,15,1503,Omy,4,58,2,N,N
682,15,1504,Omy,4,54,1.7,N,N
683,15,1505,Omy,3,53,2,N,N
684,15,1506,Omy,3,60,2.8,N,N
685,15,1507,Omy,3,50,1.4,N,N
686,15,1508,Omy,3,60,2,N,N
687,15,1509,Omy,3,52,1.6,N,N
688,15,1510,Omy,3,53,1.7,N,N
689,15,1511,Omy,3,65,2.9,N,N
690,15,1512,Omy,3,48,1,N,N
691,15,1513,Omy,3,51,1.4,N,N
692,15,1514,Omy,3,54,1.6,N,N
693,15,1515,Omy,3,62,2.2,N,N
694,15,1516,Omy,3,48,0.9,N,N
695,15,1517,Omy,3,58,2.3,N,N
696,15,1518,Omy,3,50,1.8,N,N
697,15,1519,Omy,3,56,2.3,N,N
698,15,1520,Omy,3,51,1.4,N,N
699,15,1521,Omy,3,55,2.1,N,N
700,15,1522,Omy,3,58,2.1,N,N
701,15,1523,Omy,3,58,2.2,N,N
702,15,1524,Omy,3,57,1.9,N,N
703,15,1525,Omy,2,68,2.2,N,N
704,15,1526,Omy,2,57,2.7,N,N
705,15,1527,Omy,2,64,3.4,N,N
706,15,1528,Omy,2,56,1.9,N,N
707,15,1529,Omy,2,58,1.8,N,N
708,15,1530,Omy,2,55,2.1,N,N
709,15,1531,Omy,2,53,1.6,N,N
710,15,1532,Omy,2,57,2.3,N,N
711,15,1533,Omy,2,54,1.7,N,N
712,15,1534,Omy,2,52,1.4,N,N
713,15,1535,Omy,2,53,1.4,N,N
714,15,1536,Omy,2,48,1.2,N,N
715,15,1537,Omy,2,67,2.1,N,N
716,15,1538,Omy,2,55,2,N,N
717,15,1539,Omy,2,62,2.5,N,N
718,15,1540,Omy,2,67,3.8,N,N
719,15,1541,Omy,2,52,1.4,N,N
720,15,1542,Omy,2,67,3.4,N,N
721,15,1543,Omy,2,53,1.5,N,N
722,15,1544,Omy,2,56,2,N,N
723,15,1545,Omy,2,60,2.4,N,N
724,15,1546,Omy,1,49,1.8,N,N
725,15,1547,Omy,1,49,1.2,N,N
726,15,1548,Omy,1,57,1.6,N,N
727,15,1549,Omy,1,62,2.6,N,N
728,15,1550,Omy,1,55,2.3,N,N
729,15,1551,Omy,1,53,1.8,N,N
730,15,1552,Omy,1,58,2.2,N,N
731,15,1553,Omy,1,68,3,N,N
732,15,1554,Omy,1,62,2.8,N,N
733,15,1555,Omy,1,49,1.4,N,N
734,15,1556,Omy,1,65,2.8,N,N
735,15,1557,Omy,1,77,4.8,Y,N
736,15,1558,Omy,1,51,1.5,N,N
737,15,1559,Omy,1,85,6.6,Y,N
738,15,1560,Omy,2,57,1.9,N,N
739,15,1561,Omy,2,57,1.9,N,N
740,15,1562,Omy,2,63,3,N,N
741,15,1563,Omy,5,65,3.2,N,N
742,15,1564,Omy,5,57,2.7,N,N
743,15,1565,Omy,5,61,2.5,N,N
744,15,1566,Omy,5,68,4,N,N
745,15,1567,Omy,5,62,2.6,N,N
746,15,1568,Omy,5,65,3.4,N,N
747,15,1569,Omy,5,56,2.2,N,N
748,15,1570,Omy,5,59,2.1,N,N
749,15,1571,Omy,5,71,4.7,N,N
750,15,1572,Omy,5,50,1.5,N,N
751,15,1573,Omy,5,52,1.3,N,N
752,15,1574,Omy,5,49,1.4,N,N
753,15,1575,Omy,5,50,1.2,N,N
754,16,1601,Omy,5,59,2.1,N,N
755,16,1602,Omy,5,61,2.6,N,N
756,16,1603,Omy,5,72,4.4,N,N
757,16,1604,Omy,5,63,3,N,N
758,16,1605,Omy,5,64,3.3,N,N
759,16,1606,Omy,5,61,2.4,N,N
760,16,1607,Omy,5,52,2.2,N,N
761,16,1608,Omy,5,61,2.4,N,N
762,16,1609,Omy,5,58,2.4,N,N
763,16,1610,Omy,5,53,1.7,N,N
764,16,1611,Omy,5,56,1.9,N,N
765,16,1612,Omy,5,56,1.9,N,N
766,16,1613,Omy,5,60,2.5,N,N
767,16,1614,Omy,5,65,3,N,N
768,16,1615,Omy,5,58,2.1,N,N
769,16,1616,Omy,4,52,1.4,N,N
770,16,1617,Omy,4,50,1.4,N,N
771,16,1618,Omy,4,56,2,N,N
772,16,1619,Omy,4,61,2.5,N,N
773,16,1620,Omy,4,57,1.9,N,N
774,16,1621,Omy,4,55,1.6,N,N
775,16,1622,Omy,4,66,3.4,N,N
776,16,1623,Omy,4,59,2.4,N,N
777,16,1624,Omy,4,55,1.7,N,N
778,16,1625,Omy,4,52,2.5,N,N
779,16,1626,Omy,4,55,1.8,N,N
780,16,1627,Omy,4,49,1.1,N,N
781,16,1628,Omy,4,52,1.5,N,N
782,16,1629,Omy,4,51,1.4,N,N
783,16,1630,Omy,4,53,1.5,N,N
784,16,1631,Omy,3,52,1.7,N,N
785,16,1632,Omy,3,51,1.5,N,N
786,16,1633,Omy,3,51,1.5,N,N
787,16,1634,Omy,3,51,1.4,N,N
788,16,1635,Omy,3,60,2.6,N,N
789,16,1636,Omy,3,53,1.5,N,N
790,16,1637,Omy,3,54,1.3,N,N
791,16,1638,Omy,3,48,1.2,N,N
792,16,1639,Omy,3,48,1,N,N
793,16,1640,Omy,3,46,1,N,N
794,16,1641,Omy,3,57,1.8,N,N
795,16,1642,Omy,3,62,3.6,N,N
796,16,1643,Omy,3,52,1.3,N,N
797,16,1644,Omy,3,71,3.7,N,N
798,16,1645,Omy,3,83,6.4,Y,N
799,16,1646,Omy,2,55,1.4,N,N
800,16,1647,Omy,2,62,1.9,N,N
801,16,1648,Omy,2,59,2.7,N,N
802,16,1649,Omy,2,54,1.7,N,N
803,16,1650,Omy,2,55,1.8,N,N
804,16,1651,Omy,2,54,1.8,N,N
805,16,1652,Omy,2,64,3.3,N,N
806,16,1653,Omy,2,53,1.9,N,N
807,16,1654,Omy,2,55,1.7,N,N
808,16,1655,Omy,2,61,2.2,N,N
809,16,1656,Omy,2,51,1.3,N,N
810,16,1657,Omy,2,56,1.7,N,N
811,16,1658,Omy,2,50,1.6,N,N
812,16,1659,Omy,2,55,1.8,N,N
813,16,1660,Omy,2,50,1.1,N,N
814,16,1661,Omy,1,59,2.6,N,N
815,16,1662,Omy,1,61,2.1,N,N
816,16,1663,Omy,1,62,2.4,N,N
817,16,1664,Omy,1,65,2.9,N,N
818,16,1665,Omy,1,64,2.7,N,N
819,16,1666,Omy,1,71,3.7,N,N
820,16,1667,Omy,1,59,2.5,N,N
821,16,1668,Omy,1,51,1.6,N,N
822,16,1669,Omy,1,53,1.8,N,N
823,16,1670,Omy,1,58,1.9,N,N
824,16,1671,Omy,1,54,1.6,N,N
825,16,1672,Omy,1,57,1.8,N,N
826,16,1673,Omy,1,49,1.3,N,N
827,16,1674,Omy,1,49,1.1,N,N
828,16,1675,Omy,1,49,1.1,N,N
829,17,1701,Omy,5,86,7.8,Y,N
830,17,1702,Omy,5,60,2.5,N,N
831,17,1703,Omy,5,54,1.7,N,N
832,17,1704,Omy,5,66,3.2,N,N
833,17,1705,Omy,5,69,3.7,N,N
834,17,1706,Omy,5,70,3.6,N,N
835,17,1707,Omy,5,85,8.1,Y,N
836,17,1708,Omy,1,50,1.6,N,N
837,17,1709,Omy,1,64,3.2,N,N
838,17,1710,Omy,1,57,2.3,N,N
839,17,1711,Omy,1,56,1.7,N,N
840,17,1712,Omy,2,80,4.6,Y,N
841,17,1713,Omy,2,51,2,N,N
842,17,1714,Omy,2,55,1.9,N,N
843,17,1715,Omy,2,60,2.3,N,N
844,17,1716,Omy,2,49,1.3,N,N
845,17,1717,Omy,2,45,N/A,N,N
846,17,1718,Omy,2,50,1.3,N,N
847,17,1719,Omy,2,49,1.4,N,N
848,17,1720,Omy,2,58,2.5,N,N
849,17,1721,Omy,2,64,3.7,N,N
850,17,1722,Omy,2,87,7.4,Y,N
851,17,1723,Omy,3,44,0.9,N,N
852,17,1724,Omy,3,45,1.1,N,N
853,17,1725,Omy,3,45,1.2,N,N
854,17,1726,Omy,3,52,1.6,N,N
855,17,1727,Omy,3,57,2.1,N,N
856,17,1728,Omy,3,62,2.7,N,N
857,17,1729,Omy,4,50,1.7,N,N
858,17,1730,Omy,4,49,1.4,N,N
859,17,1731,Omy,4,51,1.3,N,N
860,17,1732,Omy,4,65,3.2,N,N
861,17,1733,Omy,4,64,3.2,N,N
862,17,1734,Omy,4,58,2.3,N,N
863,17,1735,Omy,4,65,3.5,N,N
864,17,1736,Omy,4,47,1.1,N,N
865,17,1737,Omy,4,45,1.1,N,N
866,17,1738,Omy,6,51,1.4,N,Y
867,17,1739,Omy,6,55,2.3,N,N
868,17,1740,Omy,6,60,2.6,N,N
869,17,1741,Omy,8,47,1.2,N,N
870,17,1742,Omy,8,56,2.2,N,N
871,17,1743,Omy,8,59,3,N,N
872,17,1744,Omy,8,60,2.6,N,N
873,17,1745,Omy,8,46,1.6,N,N
874,17,1746,Omy,8,45,0.8,N,N
875,17,1747,Omy,8,61,2.5,N,N
876,17,1748,Omy,8,53,1.5,N,N
877,17,1749,Omy,8,56,2.2,N,N
878,17,1750,Omy,8,55,2,N,N
879,17,1751,Omy,8,50,1.3,N,N
880,17,1752,Omy,8,46,1.4,N,N
881,17,1753,Omy,8,67,3.7,N,N
882,17,1754,Omy,8,69,4.9,N,N
883,17,1755,Omy,8,61,3.2,N,N
884,17,1756,Omy,8,58,2.2,N,N
885,17,1757,Omy,7,62,3,N,N
886,17,1758,Omy,7,56,1.9,N,N
887,17,1759,Omy,7,67,4.3,N,N
888,17,1760,Omy,7,66,3.3,N,N
889,17,1761,Omy,7,54,1.8,N,N
890,17,1762,Omy,7,46,1,N,N
891,17,1763,Omy,7,52,1.5,N,N
892,17,1764,Omy,7,52,1.7,N,N
893,17,1765,Omy,8,53,1.9,N,N
894,17,1766,Omy,8,50,1.8,N,N
895,17,1767,Omy,8,58,2.4,N,N
896,17,1768,Omy,8,51,1.6,N,N
897,17,1769,Omy,8,58,2.2,N,N
898,17,1770,Omy,8,59,2.4,N,N
899,17,1771,Omy,8,55,1.9,N,N
900,17,1772,Omy,8,52,1.7,N,N
901,17,1773,Omy,8,55,1.5,N,N
902,17,1774,Omy,8,88,8.7,Y,N
903,18,1801,Omy,       6/9,58,2.4,N,N
904,18,1802,Omy,       6/9,54,1.8,N,N
905,18,1803,Omy,       6/9,65,3.1,N,N
906,18,1804,Omy,       6/9,55,1.6,N,N
907,18,1805,Omy,       6/9,55,1.7,N,N
908,18,1806,Omy,       6/9,55,1.8,N,N
909,18,1807,Omy,       6/9,68,3.7,N,N
910,18,1808,Omy,       6/9,70,3.5,N,N
911,18,1809,Omy,       6/9,74,4,N,N
912,18,1810,Omy,       6/9,77,6.1,N,N
913,18,1811,Omy,       6/9,81,5.7,N,N
914,18,1812,Omy,       6/9,83,5.8,N,N
915,18,1813,Omy,       6/9,85,6.5,Y,N
916,18,1814,Omy,       6/9,61,2.4,N,N
917,18,1815,Omy,       6/9,60,2.4,N,N
918,18,1816,Omy,       6/9,57,1.9,N,N
919,18,1817,Omy,       6/9,65,3.1,N,N
920,18,1818,Omy,       6/9,58,2.3,N,N
921,18,1819,Omy,       6/9,56,2.1,N,N
922,18,1820,Omy,       6/9,62,2.7,N,N
923,18,1821,Omy,       6/9,65,3,N,N
924,18,1822,Omy,       6/9,65,3.2,N,N
925,18,1823,Omy,       6/9,68,3.5,N,N
926,18,1824,Omy,       6/9,72,4.1,N,N
927,18,1825,Omy,       6/9,69,3.9,N,N
928,18,1826,Omy,       6/9,79,5.7,N,N
929,18,1827,Omy,       6/9,54,1.8,N,N
930,18,1828,Omy,       6/9,57,2.1,N,N
931,18,1829,Omy,       6/9,60,2.4,N,N
932,18,1830,Omy,       6/9,63,2.8,N,N
933,18,1831,Omy,       6/9,58,2.3,N,N
934,18,1832,Omy,       6/9,67,3.2,N,N
935,18,1833,Omy,       6/9,60,2.1,N,N
936,18,1834,Omy,       6/9,70,3.8,N,N
937,18,1835,Omy,       6/9,66,3.1,N,N
938,18,1836,Omy,       6/9,75,5.1,N,N
939,18,1837,Omy,       6/9,75,5.1,N,N
940,18,1838,Omy,       6/9,66,3.2,N,N
941,18,1839,Omy,       6/9,75,4.3,N,N
942,18,1840,Omy,       6/9,65,3.1,N,N
943,18,1841,Omy,       6/9,73,4.3,N,N
944,18,1842,Omy,       6/9,70,3.9,N,N
945,18,1843,Omy,       6/9,80,5.6,N,N
946,18,1844,Omy,       6/9,78,5.4,N,N
947,18,1845,Omy,       6/9,87,8,Y,N
948,18,1846,Omy,4,66,3.2,N,N
949,18,1847,Omy,4,74,5,N,N
950,18,1848,Omy,4,87,7.3,Y,N
951,18,1849,Omy,2,53,1.4,N,N
952,18,1850,Omy,2,62,2.3,N,N
953,18,1851,Omy,2,69,3.2,N,N
954,18,1852,Omy,2,80,5.8,N,N
955,18,1853,Omy,5,64,3.7,N,N
956,18,1854,Omy,5,61,2.8,N,N
957,18,1855,Omy,5,52,1.7,N,N
958,18,1856,Omy,5,74,4.4,N,N
959,18,1857,Omy,5,67,3.1,N,N
960,18,1858,Omy,5,66,3.2,N,N
961,18,1859,Omy,5,61,2.2,N,N
962,18,1860,Omy,5,72,4.2,N,N
963,18,1861,Omy,5,72,4.1,N,N
964,18,1862,Omy,5,75,4.6,N,N
965,18,1863,Omy,5,68,4,N,N
966,18,1864,Omy,5,84,6.3,Y,N
967,18,1865,Omy,1,52,1.2,N,N
968,18,1866,Omy,1,50,1.2,N,N
969,18,1867,Omy,1,65,3.2,N,N
970,18,1868,Omy,1,64,2.6,N,N
971,18,1869,Omy,1,64,2.6,N,N
972,18,1870,Omy,1,64,2.4,N,N
973,18,1871,Omy,1,65,3,N,N
974,19,1901,Omy,5,60,3.2,N,N
975,19,1902,Omy,5,62,2.8,N,N
976,19,1903,Omy,5,70,3.8,N,N
977,19,1904,Omy,5,69,3.6,N,N
978,19,1905,Omy,5,73,4.2,N,N
979,19,1906,Omy,5,82,6.3,N,N
980,19,1907,Omy,5,80,5.9,N,N
981,19,1908,Omy,5,75,5.2,N,N
982,19,1909,Omy,5,74,4.7,N,N
983,19,1910,Omy,5,80,6.1,N,N
984,19,1911,Omy,5,63,2.7,N,N
985,19,1912,Omy,4,68,3.4,N,N
986,19,1913,Omy,4,78,5.2,N,N
987,19,1914,Omy,4,63,3.2,N,N
988,19,1915,Omy,4,61,3,N,N
989,19,1916,Omy,4,81,5.3,N,N
990,19,1917,Omy,4,76,4.6,N,N
991,19,1918,Omy,4,75,5.1,N,N
992,19,1919,Omy,4,71,3.9,N,N
993,19,1920,Omy,4,67,3.2,N,N
994,19,1921,Omy,4,65,3.2,N,N
995,19,1922,Omy,4,73,4.3,N,N
996,19,1923,Omy,4,84,6.3,N,N
997,19,1924,Omy,4,71,4.1,N,N
998,19,1925,Omy,4,65,3,N,N
999,19,1926,Omy,4,68,3.3,N,N
1000,19,1927,Omy,4,70,3.8,N,N
1001,19,1928,Omy,4,62,3.1,N,N
1002,19,1929,Omy,4,71,4.1,N,N
1003,19,1930,Omy,4,82,6.7,N,N
1004,19,1931,Omy,4,68,3.9,N,N
1005,19,1932,Omy,4,80,5.8,N,N
1006,19,1933,Omy,4,60,2.8,N,N
1007,19,1934,Omy,4,78,5.3,N,N
1008,19,1935,Omy,4,78,5.6,N,N
1009,19,1936,Omy,4,58,2.2,N,N
1010,19,1937,Omy,4,70,3.6,N,N
1011,19,1938,Omy,4,72,4,N,N
1012,19,1939,Omy,4,71,3.8,N,N
1013,19,1940,Omy,4,63,2.8,N,N
1014,19,1941,Omy,4,78,5.2,N,N
1015,19,1942,Omy,4,68,3.6,N,N
1016,19,1943,Omy,3,64,3,N,N
1017,19,1944,Omy,3,61,2.3,N,N
1018,19,1945,Omy,3,57,1.7,N,N
1019,19,1946,Omy,3,70,3.8,N,N
1020,19,1947,Omy,3,78,5.4,N,N
1021,19,1948,Omy,3,64,2.7,N,N
1022,19,1949,Omy,3,67,3.6,N,N
1023,19,1950,Omy,3,68,3.3,N,N
1024,19,1951,Omy,3,64,3.4,N,N
1025,19,1952,Omy,3,69,3.6,N,N
1026,19,1953,Omy,3,71,3.9,N,N
1027,19,1954,Omy,3,82,6.7,N,N
1028,19,1955,Omy,1,65,2.9,N,N
1029,19,1956,Omy,1,62,2.8,N,N
1030,19,1957,Omy,1,68,3.4,N,N
1031,19,1958,Omy,1,75,4.4,N,N
1032,19,1959,Omy,1,66,3,N,N
1033,19,1960,Omy,1,68,3.5,N,N
1034,19,1961,Omy,1,78,5,N,N
1035,19,1962,Omy,1,66,4,N,N
1036,19,1963,Omy,1,74,4.8,N,N
1037,19,1964,Omy,1,73,4.2,N,N
1038,19,1965,Omy,1,74,4.4,N,N
1039,19,1966,Omy,2,59,2.7,N,N
1040,19,1967,Omy,2,58,2.7,N,N
1041,19,1968,Omy,2,68,3.7,N,N
1042,19,1969,Omy,2,67,3.4,N,N
1043,19,1970,Omy,2,70,3.9,N,N
1044,19,1971,Omy,2,78,4.9,N,N
1045,19,1972,Omy,2,64,3.3,N,N
1046,19,1973,Omy,2,65,2.7,N,N
1047,19,1974,Omy,2,54,1.9,N,N
1048,19,1975,Omy,2,66,3,N,N
1049,20,2001,Omy,4,65,3.2,N,Y
1050,20,2002,Omy,4,70,3.7,N,Y
1051,20,2003,Omy,4,72,3.8,N,N
1052,20,2004,Omy,4,67,3.2,N,N
1053,20,2005,Omy,4,60,2.5,N,N
1054,20,2006,Omy,5,82,5.8,N,N
1055,20,2007,Omy,5,68,4.5,N,N
1056,20,2008,Omy,5,66,3.4,N,N
1057,20,2009,Omy,5,79,5.1,N,N
1058,20,2010,Omy,5,68,3.2,N,N
1059,20,2011,Omy,5,66,3.4,N,N
1060,20,2012,Omy,5,71,4.6,N,N
1061,20,2013,Omy,5,75,4.7,N,N
1062,20,2014,Omy,5,70,4,N,N
1063,20,2015,Omy,5,56,2.5,N,N
1064,20,2016,Omy,5,50,1.4,N,N
1065,20,2017,Omy,5,58,2.7,N,N
1066,20,2018,Omy,5,50,1.3,N,N
1067,20,2019,Omy,5,57,2.2,N,N
1068,20,2020,Omy,5,55,2,N,N
1069,20,2021,Omy,5,55,1.8,N,N
1070,20,2022,Omy,5,65,3.2,N,N
1071,20,2023,Omy,5,56,1.9,N,N
1072,20,2024,Omy,5,69,3.6,N,N
1073,20,2025,Omy,5,54,2,N,N
1074,20,2026,Omy,5,74,4.6,N,N
1075,20,2027,Omy,5,56,2.3,N,N
1076,20,2028,Omy,5,71,4.8,N,N
1077,20,2029,Omy,5,62,2.5,N,N
1078,20,2030,Omy,5,75,4.8,N,N
1079,20,2031,Omy,3,62,3,N,N
1080,20,2032,Omy,3,51,1.4,N,N
1081,20,2033,Omy,3,73,5.1,N,N
1082,20,2034,Omy,3,73,4.6,N,N
1083,20,2035,Omy,3,66,3.4,N,N
1084,20,2036,Omy,3,64,3.5,N,N
1085,20,2037,Omy,3,64,3.1,N,N
1086,20,2038,Omy,3,64,2.8,N,N
1087,20,2039,Omy,3,58,2.4,N,N
1088,20,2040,Omy,3,56,2.1,N,N
1089,20,2041,Omy,3,55,2.2,N,N
1090,20,2042,Omy,3,54,1.8,N,N
1091,20,2043,Omy,3,54,1.8,N,N
1092,20,2044,Omy,3,68,3.9,N,N
1093,20,2045,Omy,3,70,4.4,N,N
1094,20,2046,Omy,2,67,3,N,N
1095,20,2047,Omy,2,76,4.5,N,N
1096,20,2048,Omy,2,68,3.4,N,N
1097,20,2049,Omy,2,67,3.5,N,N
1098,20,2050,Omy,2,57,2.3,N,N
1099,20,2051,Omy,2,75,4.5,N,N
1100,20,2052,Omy,2,75,4.7,N,N
1101,20,2053,Omy,2,68,3.7,N,N
1102,20,2054,Omy,2,62,2.5,N,N
1103,20,2055,Omy,2,61,2.6,N,N
1104,20,2056,Omy,2,52,1.9,N,N
1105,20,2057,Omy,2,60,2.4,N,N
1106,20,2058,Omy,2,57,2.4,N,N
1107,20,2059,Omy,2,67,3.2,N,N
1108,20,2060,Omy,2,67,3.5,N,N
1109,20,2061,Omy,1,66,3.6,N,N
1110,20,2062,Omy,1,64,3.1,N,N
1111,20,2063,Omy,1,74,4.8,N,N
1112,20,2064,Omy,1,61,3.1,N,N
1113,20,2065,Omy,1,66,3.1,N,N
1114,20,2066,Omy,1,59,2.5,N,N
1115,20,2067,Omy,1,53,2.2,N,N
1116,20,2068,Omy,1,76,4.6,N,N
1117,20,2069,Omy,1,52,1.5,N,N
1118,20,2070,Omy,1,58,2.2,N,N
1119,20,2071,Omy,1,79,5.1,N,N
1120,20,2072,Omy,1,61,2.6,N,N
1121,20,2073,Omy,1,53,2.1,N,N
1122,20,2074,Omy,1,52,1.7,N,N
1123,20,2075,Omy,1,54,1.7,N,N
1124,21,2101,Omy,5,75,4.5,N,N
1125,21,2102,Omy,5,62,2.8,N,N
1126,21,2103,Omy,5,70,3.6,N,N
1127,21,2104,Omy,5,56,2,N,N
1128,21,2105,Omy,5,63,2.5,N,N
1129,21,2106,Omy,5,59,2.5,N,N
1130,21,2107,Omy,5,67,2.8,N,N
1131,21,2108,Omy,5,61,2.6,N,N
1132,21,2109,Omy,5,58,2.2,N,N
1133,21,2110,Omy,5,64,3.4,N,N
1134,21,2111,Omy,5,62,2.4,N,N
1135,21,2112,Omy,5,59,2.1,N,N
1136,21,2113,Omy,5,51,1.3,N,N
1137,21,2114,Omy,5,60,2.3,N,N
1138,21,2115,Omy,3,60,2.2,N,N
1139,21,2116,Omy,3,55,1.7,N,N
1140,21,2117,Omy,3,55,2.3,N,N
1141,21,2118,Omy,3,64,2.9,N,N
1142,21,2119,Omy,3,74,4,N,N
1143,21,2120,Omy,3,78,5.2,N,N
1144,21,2121,Omy,3,69,3.2,N,N
1145,21,2122,Omy,3,69,3.6,N,N
1146,21,2123,Omy,3,63,3,N,N
1147,21,2124,Omy,3,61,2.5,N,N
1148,21,2125,Omy,3,60,2.3,N,N
1149,21,2126,Omy,3,55,1.9,N,N
1150,21,2127,Omy,3,62,2.3,N,N
1151,21,2128,Omy,3,67,3.2,N,N
1152,21,2129,Omy,3,58,2,N,N
1153,21,2130,Omy,3,49,1,N,Y
1154,21,2131,Omy,4,56,1.9,N,N
1155,21,2132,Omy,4,61,2.5,N,N
1156,21,2133,Omy,4,65,3.4,N,N
1157,21,2134,Omy,4,64,3.1,N,N
1158,21,2135,Omy,4,73,3.8,N,N
1159,21,2136,Omy,4,74,4,N,N
1160,21,2137,Omy,4,61,2.8,N,N
1161,21,2138,Omy,4,61,3,N,N
1162,21,2139,Omy,4,60,2.3,N,N
1163,21,2140,Omy,4,52,1.5,N,N
1164,21,2141,Omy,4,61,2.3,N,N
1165,21,2142,Omy,4,60,2.5,N,N
1166,21,2143,Omy,4,53,1.8,N,N
1167,21,2144,Omy,4,55,2.1,N,N
1168,21,2145,Omy,4,53,2.1,N,N
1169,21,2146,Omy,2,69,3.4,N,N
1170,21,2147,Omy,2,56,1.7,N,N
1171,21,2148,Omy,2,55,1.7,N,N
1172,21,2149,Omy,2,52,1.6,N,N
1173,21,2150,Omy,2,66,2.7,N,N
1174,21,2151,Omy,2,66,3.1,N,N
1175,21,2152,Omy,2,59,2.3,N,N
1176,21,2153,Omy,2,62,2.9,N,N
1177,21,2154,Omy,2,58,2.7,N,N
1178,21,2155,Omy,2,67,3.3,N,N
1179,21,2156,Omy,2,58,1.8,N,N
1180,21,2157,Omy,2,53,1.7,N,N
1181,21,2158,Omy,2,53,1.6,N,N
1182,21,2159,Omy,2,60,2.6,N,N
1183,21,2160,Omy,2,55,1.8,N,N
1184,21,2161,Omy,1,60,2.2,N,N
1185,21,2162,Omy,1,55,1.7,N,N
1186,21,2163,Omy,1,53,1.4,N,N
1187,21,2164,Omy,1,64,2.8,N,N
1188,21,2165,Omy,1,52,1.6,N,N
1189,21,2166,Omy,1,59,2.3,N,N
1190,21,2167,Omy,1,60,2.2,N,N
1191,21,2168,Omy,1,56,2.1,N,N
1192,21,2169,Omy,1,53,1.4,N,N
1193,21,2170,Omy,1,56,1.8,N,N
1194,21,2171,Omy,1,50,1.3,N,N
1195,21,2172,Omy,1,54,1.7,N,N
1196,21,2173,Omy,1,55,1.7,N,N
1197,21,2174,Omy,1,50,1.2,N,N
1198,21,2175,Omy,1,46,1.3,N,Y
1199,22,2201,Omy,2,61,2.8,N,N
1200,22,2202,Omy,2,60,3,N,N
1201,22,2203,Omy,2,71,4.3,N,N
1202,22,2204,Omy,2,64,3.1,N,N
1203,22,2205,Omy,2,60,2.9,N,N
1204,22,2206,Omy,2,56,1.9,N,N
1205,22,2207,Omy,2,61,2.4,N,N
1206,22,2208,Omy,2,54,2.1,N,N
1207,22,2209,Omy,2,72,4.1,N,N
1208,22,2210,Omy,2,51,1.8,N,N
1209,22,2211,Omy,2,53,2,N,N
1210,22,2212,Omy,2,52,1.8,N,N
1211,22,2213,Omy,2,57,2,N,N
1212,22,2214,Omy,2,57,2.2,N,N
1213,22,2215,Omy,2,51,1.5,N,N
1214,22,2216,Omy,5,55,1.7,N,N
